ID;Filename;Utterance start time;Estimated Lexical Match
0006_VAZ;VF-001-20170316133043.wav;16;flamberet
0006_VAZ;VF-001-20170316133043.wav;18;føj
0006_VAZ;VF-001-20170316133043.wav;22;fjernsyn
0006_VAZ;VF-001-20170316133043.wav;27;fløde
0006_VAZ;VF-001-20170316133043.wav;32;flæskesteg
0006_VAZ;VF-001-20170316133043.wav;38;flaske
0006_VAZ;VF-001-20170316133043.wav;44;fremmed
0006_VAZ;VF-001-20170316133043.wav;46;fri
0006_VAZ;VF-001-20170316133043.wav;51;frikadeller
0006_VAZ;VF-001-20170316133043.wav;55;forår
0006_VAZ;VF-002-20170316103815.wav;1;protokol
0006_VAZ;VF-002-20170316103815.wav;2;projekt
0006_VAZ;VF-002-20170316103815.wav;4;poul
0006_VAZ;VF-002-20170316103815.wav;5;per
0006_VAZ;VF-002-20170316103815.wav;7;peter
0006_VAZ;VF-002-20170316103815.wav;9;persienner
0006_VAZ;VF-002-20170316103815.wav;11;pas
0006_VAZ;VF-002-20170316103815.wav;13;passer
0006_VAZ;VF-002-20170316103815.wav;17;politi
0006_VAZ;VF-002-20170316103815.wav;18;projekt
0006_VAZ;VF-002-20170316103815.wav;41;pris
0006_VAZ;VF-002-20170316103815.wav;53;protokol
0006_VAZ;VF-002-20170316103815.wav;59;pap
0006_VAZ;VF-002-20170316120450.wav;2;taxa
0006_VAZ;VF-002-20170316120450.wav;4;trække
0006_VAZ;VF-002-20170316120450.wav;6;tunge
0006_VAZ;VF-002-20170316120450.wav;8;taffel
0006_VAZ;VF-002-20170316120450.wav;10;trøffel
0006_VAZ;VF-002-20170316120450.wav;13;tarme
0006_VAZ;VF-002-20170316120450.wav;17;tandem
0006_VAZ;VF-002-20170316120450.wav;19;terresse
0006_VAZ;VF-002-20170316120450.wav;22;tank
0006_VAZ;VF-002-20170316120450.wav;25;tennis
0006_VAZ;VF-002-20170316120450.wav;30;trampolin
0006_VAZ;VF-002-20170316120450.wav;32;taske
0006_VAZ;VF-002-20170316120450.wav;36;tommeltot
0006_VAZ;VF-002-20170316120450.wav;41;torsk
