ID,Filename,Utterance start time,Estimated Lexical Match,Certainty,Target Letter,Audio Quality Comment,Cluster Status,Cluster ID,curve_c,curve_m,Condition,avg_sim,avg_phon_sim
0005_FZU,VF-002-20170310130033.wav,15,træ,3.0,t,low,0,3,9.12612225265314,0.0517344368287713,2,0.8204171,0.5476190476190476
0005_FZU,VF-002-20170310130033.wav,20,tollundmand,1.0,t,low,1,3,9.12612225265314,0.0517344368287713,2,0.8204171,0.5476190476190476
0005_FZU,VF-003-20170310102036.wav,1,majs,3.0,m,low,0,1,12.029698747826744,0.0353007809639434,3,0.943423,0.9066666666666667
0005_FZU,VF-003-20170310102036.wav,3,majsmel,3.0,m,low,1,1,12.029698747826744,0.0353007809639434,3,0.943423,0.9066666666666667
0005_FZU,VF-003-20170310102036.wav,6,majstang,2.0,m,low,0,2,12.029698747826744,0.0353007809639434,3,0.9273307,0.611111111111111
0005_FZU,VF-003-20170310102036.wav,7,majroer,3.0,m,low,1,2,12.029698747826744,0.0353007809639434,3,0.9273307,0.611111111111111
0005_FZU,VF-003-20170310102036.wav,28,,,m,low,0,3,12.029698747826744,0.0353007809639434,3,0.839602,0.8666666666666667
0005_FZU,VF-003-20170310102036.wav,31,,,m,low,1,3,12.029698747826744,0.0353007809639434,3,0.839602,0.8666666666666667
0005_FZU,VF-003-20170310102036.wav,32,madkasse,2.0,m,low,1,3,12.029698747826744,0.0353007809639434,3,0.839602,0.8666666666666667
0005_FZU,VF-003-20170310102036.wav,33,mad,2.0,m,low,1,3,12.029698747826744,0.0353007809639434,3,0.839602,0.8666666666666667
0005_FZU,VF-003-20170310114351.wav,1,lam,2.0,l,low,0,1,8.367628328046795,0.04377118237888,1,0.86053485,0.84
0005_FZU,VF-003-20170310114351.wav,3,lammekrone,1.0,l,low,1,1,8.367628328046795,0.04377118237888,1,0.86053485,0.84
0005_FZU,VF-003-20170310114351.wav,13,,,l,low,0,2,8.367628328046795,0.04377118237888,1,0.80974674,0.7185185185185184
0005_FZU,VF-003-20170310114351.wav,18,lagn,1.0,l,low,1,2,8.367628328046795,0.04377118237888,1,0.80974674,0.7185185185185184
0005_FZU,VF-003-20170310114351.wav,19,limpistol,2.0,l,low,1,2,8.367628328046795,0.04377118237888,1,0.80974674,0.7185185185185184
0005_FZU,VF-003-20170310114351.wav,24,lag,,l,low,1,2,8.367628328046795,0.04377118237888,1,0.80974674,0.7185185185185184
0006_VAZ,VF-001-20170316103702.wav,1,spand,3.0,s,high,0,1,28.267924332533887,0.0224888638593752,1,0.73153424,0.6537037037037038
0006_VAZ,VF-001-20170316103702.wav,2,skovl,3.0,s,high,1,1,28.267924332533887,0.0224888638593752,1,0.73153424,0.6537037037037038
0006_VAZ,VF-001-20170316103702.wav,3,spade,3.0,s,high,1,1,28.267924332533887,0.0224888638593752,1,0.73153424,0.6537037037037038
0006_VAZ,VF-001-20170316103702.wav,11,sukker,3.0,s,high,0,2,28.267924332533887,0.0224888638593752,1,0.66325915,0.637037037037037
