ID,Filename,Utterance start time,Estimated Lexical Match,Certainty,Target Letter,Audio Quality Comment,Cluster Status,Cluster ID
0006_VAZ,VF-001-20170316103702.wav,19,super,3.0,s,high,1,3
0006_VAZ,VF-001-20170316103702.wav,21,svend,2.0,s,high,1,3
0006_VAZ,VF-001-20170316103702.wav,25,svært,3.0,s,high,0,0
0006_VAZ,VF-001-20170316103702.wav,29,sol,3.0,s,high,0,4
0006_VAZ,VF-001-20170316103702.wav,32,septembeer,3.0,s,high,1,4
0006_VAZ,VF-001-20170316103702.wav,37,sokkel,3.0,s,high,0,5
0006_VAZ,VF-001-20170316103702.wav,40,suser,3.0,s,high,1,5
0006_VAZ,VF-001-20170316103702.wav,41,susen,3.0,s,high,1,5
0006_VAZ,VF-001-20170316103702.wav,44,susan,3.0,s,high,1,5
0006_VAZ,VF-001-20170316103702.wav,49,si,3.0,s,high,0,6
0006_VAZ,VF-001-20170316103702.wav,53,saftevand,3.0,s,high,1,6
0006_VAZ,VF-001-20170316103702.wav,56,saft,3.0,s,high,1,6
0006_VAZ,VF-001-20170316120337.wav,2,kamera,3.0,k,high,0,1
0006_VAZ,VF-001-20170316120337.wav,3,klasse,3.0,k,high,1,1
0006_VAZ,VF-001-20170316120337.wav,11,kasse,3.0,k,high,0,0
0006_VAZ,VF-001-20170316120337.wav,15,kigge,3.0,k,high,0,2
0006_VAZ,VF-001-20170316120337.wav,16,klemme,3.0,k,high,1,2
0006_VAZ,VF-001-20170316120337.wav,18,konge,2.0,k,high,1,2
0006_VAZ,VF-001-20170316120337.wav,23,kong,2.0,k,high,0,3
0006_VAZ,VF-001-20170316120337.wav,26,klar,3.0,k,high,1,3
0006_VAZ,VF-001-20170316120337.wav,28,,,k,high,1,3
0006_VAZ,VF-001-20170316120337.wav,34,klokke,3.0,k,high,0,0
0006_VAZ,VF-001-20170316120337.wav,38,,,k,high,0,0
0006_VAZ,VF-001-20170316120337.wav,44,kræmmer,3.0,k,high,0,4
0006_VAZ,VF-001-20170316120337.wav,47,kys,3.0,k,high,1,4
0006_VAZ,VF-001-20170316120337.wav,48,kærlighed,3.0,k,high,1,4
0006_VAZ,VF-001-20170316120337.wav,51,kildevand,3.0,k,high,1,4
0006_VAZ,VF-001-20170316120337.wav,58,kaffe,3.0,k,high,0,0
0006_VAZ,VF-001-20170316133043.wav,2,familie,3.0,f,high,0,1
0006_VAZ,VF-001-20170316133043.wav,3,,,f,high,1,1
0006_VAZ,VF-001-20170316133043.wav,7,fire,1.0,f,high,0,0
0006_VAZ,VF-001-20170316133043.wav,11,frost,2.0,f,high,0,2
0006_VAZ,VF-001-20170316133043.wav,12,fisk,2.0,f,high,1,2
0006_VAZ,VF-001-20170316133043.wav,16,flamberet,3.0,f,high,0,3
0006_VAZ,VF-001-20170316133043.wav,18,føj,3.0,f,high,1,3
0006_VAZ,VF-001-20170316133043.wav,22,fjernsyn,3.0,f,high,0,0
0006_VAZ,VF-001-20170316133043.wav,27,fløde,2.0,f,high,0,0
0006_VAZ,VF-001-20170316133043.wav,32,flæsksteg,3.0,f,high,0,0
0006_VAZ,VF-001-20170316133043.wav,38,flaske,3.0,f,high,0,0
0006_VAZ,VF-001-20170316133043.wav,44,fremmed,2.0,f,high,0,4
0006_VAZ,VF-001-20170316133043.wav,46,fri,3.0,f,high,1,4
0006_VAZ,VF-001-20170316133043.wav,51,frikadeller,3.0,f,high,1,4
0006_VAZ,VF-001-20170316133043.wav,55,forår,3.0,f,high,1,4
0006_VAZ,VF-002-20170316103815.wav,1,protokol,3.0,p,high,0,1
0006_VAZ,VF-002-20170316103815.wav,2,projekt,3.0,p,high,1,1
0006_VAZ,VF-002-20170316103815.wav,4,poul,3.0,p,high,0,2
0006_VAZ,VF-002-20170316103815.wav,5,per,3.0,p,high,1,2
0006_VAZ,VF-002-20170316103815.wav,7,peter,3.0,p,high,0,0
0006_VAZ,VF-002-20170316103815.wav,9,persienner,3.0,p,high,0,3
0006_VAZ,VF-002-20170316103815.wav,11,pas,3.0,p,high,1,3
0006_VAZ,VF-002-20170316103815.wav,13,passer,3.0,p,high,1,3
0006_VAZ,VF-002-20170316103815.wav,17,politi,3.0,p,high,0,4
0006_VAZ,VF-002-20170316103815.wav,18,projekt,3.0,p,high,1,4
0006_VAZ,VF-002-20170316103815.wav,41,pris,3.0,p,high,0,5
0006_VAZ,VF-002-20170316103815.wav,53,protokol,3.0,p,high,1,5
0006_VAZ,VF-002-20170316103815.wav,59,pap,3.0,p,high,1,5
0006_VAZ,VF-002-20170316120450.wav,2,taxa,3.0,t,high,0,1
0006_VAZ,VF-002-20170316120450.wav,4,trække,3.0,t,high,1,1
0006_VAZ,VF-002-20170316120450.wav,6,tunge,3.0,t,high,1,1
0006_VAZ,VF-002-20170316120450.wav,8,taffel,3.0,t,high,1,1
0006_VAZ,VF-002-20170316120450.wav,10,trøffel,3.0,t,high,1,1
0006_VAZ,VF-002-20170316120450.wav,13,tarme,2.0,t,high,0,0
0006_VAZ,VF-002-20170316120450.wav,17,tandem,3.0,t,high,0,2
0006_VAZ,VF-002-20170316120450.wav,19,teresse,3.0,t,high,1,2
0006_VAZ,VF-002-20170316120450.wav,22,tank,3.0,t,high,0,3
0006_VAZ,VF-002-20170316120450.wav,25,tennis,3.0,t,high,1,3
0006_VAZ,VF-002-20170316120450.wav,30,trambolin,3.0,t,high,0,4
0006_VAZ,VF-002-20170316120450.wav,32,taske,3.0,t,high,1,4
0006_VAZ,VF-002-20170316120450.wav,36,tommeltot,3.0,t,high,0,0
0006_VAZ,VF-002-20170316120450.wav,41,torsk,3.0,t,high,0,0
0006_VAZ,VF-002-20170316120450.wav,46,træmmer,3.0,t,high,0,5
0006_VAZ,VF-002-20170316120450.wav,51,taske,3.0,t,high,1,5
0006_VAZ,VF-002-20170316120450.wav,56,terin,1.0,t,high,1,5
0006_VAZ,VF-002-20170316120450.wav,59,trusser,3.0,t,high,1,5
0006_VAZ,VF-002-20170316133156.wav,2,billiard,3.0,b,high,0,1
0006_VAZ,VF-002-20170316133156.wav,4,børnehave,3.0,b,high,1,1
0006_VAZ,VF-002-20170316133156.wav,7,,,b,high,0,0
0006_VAZ,VF-002-20170316133156.wav,11,bærepose,3.0,b,high,0,2
0006_VAZ,VF-002-20170316133156.wav,14,,,b,high,1,2
0006_VAZ,VF-002-20170316133156.wav,17,børn,3.0,b,high,1,2
0006_VAZ,VF-002-20170316133156.wav,25,basker,1.0,b,high,0,3
0006_VAZ,VF-002-20170316133156.wav,28,bramming,3.0,b,high,1,3
0006_VAZ,VF-002-20170316133156.wav,29,blæst,3.0,b,high,1,3
0006_VAZ,VF-002-20170316133156.wav,32,bål,3.0,b,high,1,3
0006_VAZ,VF-002-20170316133156.wav,36,,,b,high,0,0
0006_VAZ,VF-002-20170316133156.wav,42,båthorn,3.0,b,high,0,4
0006_VAZ,VF-002-20170316133156.wav,44,bål,3.0,b,high,1,4
0006_VAZ,VF-002-20170316133156.wav,48,bil,3.0,b,high,1,4
0006_VAZ,VF-002-20170316133156.wav,53,baskerlandet,3.0,b,high,0,5
0006_VAZ,VF-002-20170316133156.wav,57,belfast,3.0,b,high,1,5
0006_VAZ,VF-003-20170316103928.wav,1,mennesker,3.0,m,high,0,0
0006_VAZ,VF-003-20170316103928.wav,3,mor,3.0,m,high,0,0
0006_VAZ,VF-003-20170316103928.wav,6,maiken,2.0,m,high,0,1
0006_VAZ,VF-003-20170316103928.wav,7,morten,3.0,m,high,1,1
0006_VAZ,VF-003-20170316103928.wav,9,maiken,2.0,m,high,1,1
0006_VAZ,VF-003-20170316103928.wav,11,maj,1.0,m,high,1,1
0006_VAZ,VF-003-20170316103928.wav,13,mad,3.0,m,high,1,1
0006_VAZ,VF-003-20170316103928.wav,15,mel,3.0,m,high,1,1
0006_VAZ,VF-003-20170316103928.wav,19,morsom,3.0,m,high,0,2
0006_VAZ,VF-003-20170316103928.wav,21,mystisk,3.0,m,high,1,2
0006_VAZ,VF-003-20170316103928.wav,23,metal,3.0,m,high,1,2
0006_VAZ,VF-003-20170316103928.wav,26,maksimal,3.0,m,high,0,0
0006_VAZ,VF-003-20170316103928.wav,31,minus,3.0,m,high,0,0
0006_VAZ,VF-003-20170316103928.wav,35,marker,2.0,m,high,0,0
0006_VAZ,VF-003-20170316103928.wav,39,maskine,3.0,m,high,0,0
0006_VAZ,VF-003-20170316103928.wav,46,mus,3.0,m,high,0,3
0006_VAZ,VF-003-20170316103928.wav,48,mis,3.0,m,high,1,3
0006_VAZ,VF-003-20170316103928.wav,51,maiken,,m,high,1,3
0006_VAZ,VF-003-20170316103928.wav,52,majbritt,2.0,m,high,1,3
0006_VAZ,VF-003-20170316103928.wav,57,materiale,3.0,m,high,1,3
0006_VAZ,VF-003-20170316120603.wav,2,drikke,2.0,d,high,0,1
0006_VAZ,VF-003-20170316120603.wav,4,danse,3.0,d,high,1,1
0006_VAZ,VF-003-20170316120603.wav,7,dusk,2.0,d,high,0,2
0006_VAZ,VF-003-20170316120603.wav,10,dør,3.0,d,high,1,2
0006_VAZ,VF-003-20170316120603.wav,15,derfor,3.0,d,high,0,3
0006_VAZ,VF-003-20170316120603.wav,19,drømme,1.0,d,high,1,3
0006_VAZ,VF-003-20170316120603.wav,26,dumme,3.0,d,high,0,0
0006_VAZ,VF-003-20170316120603.wav,38,drab,3.0,d,high,0,4
0006_VAZ,VF-003-20170316120603.wav,44,direktør,3.0,d,high,1,4
0006_VAZ,VF-003-20170316120603.wav,48,danmark,3.0,d,high,1,4
0006_VAZ,VF-003-20170316120603.wav,52,daske,3.0,d,high,1,4
0006_VAZ,VF-003-20170316120603.wav,57,dyr,3.0,d,high,1,4
0006_VAZ,VF-003-20170316133309.wav,1,lov,2.0,l,high,0,1
0006_VAZ,VF-003-20170316133309.wav,2,løve,3.0,l,high,1,1
0006_VAZ,VF-003-20170316133309.wav,4,livet,3.0,l,high,1,1
0006_VAZ,VF-003-20170316133309.wav,7,løs,3.0,l,high,0,2
0006_VAZ,VF-003-20170316133309.wav,9,luksus,3.0,l,high,1,2
0006_VAZ,VF-003-20170316133309.wav,12,lejrbål,3.0,l,high,0,0
0006_VAZ,VF-003-20170316133309.wav,16,lexus,2.0,l,high,0,0
0006_VAZ,VF-003-20170316133309.wav,19,larm,3.0,l,high,0,0
0006_VAZ,VF-003-20170316133309.wav,24,løs,1.0,l,high,0,0
0006_VAZ,VF-003-20170316133309.wav,28,liv,3.0,l,high,0,3
0006_VAZ,VF-003-20170316133309.wav,30,løvehjerte,3.0,l,high,1,3
0006_VAZ,VF-003-20170316133309.wav,34,lovgivning,3.0,l,high,0,4
0006_VAZ,VF-003-20170316133309.wav,38,læs,3.0,l,high,1,4
0006_VAZ,VF-003-20170316133309.wav,45,lov,3.0,l,high,0,5
0006_VAZ,VF-003-20170316133309.wav,47,lost,2.0,l,high,1,5
0006_VAZ,VF-003-20170316133309.wav,51,ledning,3.0,l,high,1,5
0006_VAZ,VF-003-20170316133309.wav,54,læsehest,3.0,l,high,1,5
0006_VAZ,VF-003-20170316133309.wav,59,læskedrik,3.0,l,high,1,5
0019_YRF,VF-003-20230327122603.wav,2,dum,2.0,d,low,0,0
0019_YRF,VF-003-20230327122603.wav,4,dumdristig,3.0,d,low,0,1
0019_YRF,VF-003-20230327122603.wav,5,drille,1.0,d,low,1,1
0019_YRF,VF-003-20230327122603.wav,6,drillepind,1.0,d,low,1,1
0019_YRF,VF-003-20230327122603.wav,9,,,d,low,0,2
0019_YRF,VF-003-20230327122603.wav,11,,,d,low,1,2
0019_YRF,VF-003-20230327122603.wav,13,,,d,low,1,2
0019_YRF,VF-003-20230327122603.wav,17,dør,3.0,d,low,0,3
0019_YRF,VF-003-20230327122603.wav,19,drøbel,2.0,d,low,1,3
0019_YRF,VF-003-20230327122603.wav,25,dyr,3.0,d,low,0,4
0019_YRF,VF-003-20230327122603.wav,27,duge,2.0,d,low,1,4
0019_YRF,VF-003-20230327122603.wav,40,dansk,3.0,d,low,0,5
0019_YRF,VF-003-20230327122603.wav,45,drøbel,2.0,d,low,1,5
0019_YRF,VF-003-20230327122603.wav,50,,1.0,d,low,1,5
0019_YRF,VF-003-20230327122603.wav,59,,,d,low,1,5
0019_YRF,VF-003-20230327095945.wav,1,,,l,low,0,1
0019_YRF,VF-003-20230327095945.wav,2,,,l,low,1,1
0019_YRF,VF-003-20230327095945.wav,4,læg,2.0,l,low,0,2
0019_YRF,VF-003-20230327095945.wav,5,læggekartofler,3.0,l,low,1,2
0019_YRF,VF-003-20230327095945.wav,9,lir,1.0,l,low,0,0
0019_YRF,VF-003-20230327095945.wav,11,ligvogn,1.0,l,low,0,0
0019_YRF,VF-003-20230327095945.wav,13,live,1.0,l,low,0,3
0019_YRF,VF-003-20230327095945.wav,15,,,l,low,1,3
0019_YRF,VF-003-20230327095945.wav,18,lammeskind,3.0,l,low,0,4
0019_YRF,VF-003-20230327095945.wav,20,lodden,3.0,l,low,1,4
0019_YRF,VF-003-20230327095945.wav,21,lod,3.0,l,low,1,4
0019_YRF,VF-003-20230327095945.wav,22,lodsejeer,3.0,l,low,1,4
0019_YRF,VF-003-20230327095945.wav,27,lun,2.0,l,low,0,5
0019_YRF,VF-003-20230327095945.wav,29,levet,2.0,l,low,1,5
0019_YRF,VF-003-20230327095945.wav,32,led,2.0,l,low,0,6
0019_YRF,VF-003-20230327095945.wav,33,,,l,low,1,6
0019_YRF,VF-003-20230327095945.wav,38,last,3.0,l,low,0,7
0019_YRF,VF-003-20230327095945.wav,39,lastbil,3.0,l,low,1,7
0019_YRF,VF-003-20230327095945.wav,44,lort,3.0,l,low,0,0
0019_YRF,VF-003-20230327095945.wav,48,lokom,3.0,l,low,0,0
0019_YRF,VF-003-20230327095945.wav,54,lodden,3.0,l,low,0,8
0019_YRF,VF-003-20230327095945.wav,57,loddekolbe,3.0,l,low,1,8
0019_YRF,VF-003-20230327095945.wav,59,,,l,low,1,8
0019_YRF,VF-002-20230327122455.wav,1,tre,3.0,t,low,0,1
0019_YRF,VF-002-20230327122455.wav,2,ti,3.0,t,low,1,1
0019_YRF,VF-002-20230327122455.wav,3,tretten,3.0,t,low,1,1
0019_YRF,VF-002-20230327122455.wav,4,tyve,3.0,t,low,1,1
0019_YRF,VF-002-20230327122455.wav,5,tredive,3.0,t,low,1,1
0019_YRF,VF-002-20230327122455.wav,6,tempo,3.0,t,low,1,1
0019_YRF,VF-002-20230327122455.wav,10,tissemand,2.0,t,low,0,0
0019_YRF,VF-002-20230327122455.wav,16,,,t,low,0,0
0019_YRF,VF-002-20230327122455.wav,23,trekant,3.0,t,low,0,2
0019_YRF,VF-002-20230327122455.wav,26,,,t,low,1,2
0019_YRF,VF-002-20230327122455.wav,31,,,t,low,0,0
